                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.84378,                0.97229,                 1.3012,                0.57037,                0.58279,                0.58665,                0.42359,                 1.0589,                 1.2851,                 1.6092,               0.001981,               0.001981,               0.001981
                     83,                0.82936,                0.95003,                 1.2935,                0.63933,                0.50863,                0.57669,                0.40254,                 1.0703,                 1.2599,                 1.6103,               0.001882,               0.001882,               0.001882
                     84,                0.81279,                0.93037,                 1.2802,                0.58683,                0.66093,                0.62599,                0.43807,                 1.0129,                 1.1771,                 1.5497,               0.001783,               0.001783,               0.001783
                     85,                0.80074,                0.92724,                 1.2766,                0.60686,                0.55524,                0.56569,                0.40957,                 1.0521,                 1.3211,                 1.6148,               0.001684,               0.001684,               0.001684
                     86,                0.80678,                0.91808,                 1.2781,                0.57656,                0.58387,                0.60064,                0.43164,                 1.0371,                 1.3326,                 1.5919,               0.001585,               0.001585,               0.001585
                     87,                0.80251,                0.90714,                 1.2708,                0.61123,                0.55942,                0.58088,                0.40211,                 1.0621,                 1.3286,                 1.6078,               0.001486,               0.001486,               0.001486
                     88,                0.79395,                0.89309,                 1.2577,                0.58814,                0.64362,                0.60816,                0.42652,                 1.0411,                  1.259,                 1.5789,               0.001387,               0.001387,               0.001387
                     89,                0.79605,                0.90409,                 1.2666,                0.60175,                0.59171,                0.61599,                0.43944,                 1.0061,                 1.2058,                 1.5494,               0.001288,               0.001288,               0.001288
                     90,                 0.7861,                0.88636,                 1.2556,                0.55725,                0.59971,                0.60004,                0.43678,                 1.0219,                 1.3389,                 1.5763,               0.001189,               0.001189,               0.001189
                     91,                0.78153,                0.86723,                 1.2519,                0.62728,                0.58808,                0.61101,                0.44184,                0.99522,                 1.3162,                 1.5305,                0.00109,                0.00109,                0.00109
                     92,                0.77191,                0.87445,                 1.2491,                0.62645,                0.60546,                0.63634,                0.45898,                0.98149,                 1.2213,                 1.5257,               0.000991,               0.000991,               0.000991
                     93,                 0.7659,                0.85176,                 1.2363,                0.61616,                 0.5656,                0.58753,                0.43137,                 1.0066,                 1.3019,                 1.5623,               0.000892,               0.000892,               0.000892
                     94,                0.75883,                0.84076,                 1.2323,                0.63136,                0.62442,                0.64282,                 0.4698,                0.97477,                 1.1587,                 1.5256,               0.000793,               0.000793,               0.000793
                     95,                0.73573,                0.80859,                 1.2147,                0.62252,                0.63508,                 0.6232,                0.45354,                 1.0038,                 1.1366,                  1.554,               0.000694,               0.000694,               0.000694
                     96,                0.74239,                0.81462,                  1.222,                0.63695,                0.61315,                0.63815,                0.46468,                0.97336,                  1.141,                 1.5255,               0.000595,               0.000595,               0.000595
                     97,                0.74141,                0.81337,                 1.2183,                0.61468,                 0.6236,                0.62472,                0.44826,                 1.0001,                 1.1324,                 1.5492,               0.000496,               0.000496,               0.000496
                     98,                0.71827,                0.79388,                 1.1964,                0.63355,                0.60322,                0.63045,                0.46693,                0.98536,                  1.171,                 1.5441,               0.000397,               0.000397,               0.000397
                     99,                0.72815,                0.78893,                 1.2049,                0.63355,                 0.6425,                  0.648,                0.47127,                0.97352,                  1.124,                 1.5309,               0.000298,               0.000298,               0.000298
